ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
UAL7644,EIN384,2020-05-06T11:25:00.000+0000,2020-05-06T13:00:00.000+0000,EINN,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
BAW5942,EIN384,2020-05-06T11:25:00.000+0000,2020-05-06T13:00:00.000+0000,EINN,EGLL,A320,Economy: Food for sale,0,0,180
ACA6918,EIN384,2020-05-06T11:25:00.000+0000,2020-05-06T13:00:00.000+0000,EINN,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
UAE9943,,2020-05-06T08:30:00.000+0000,2020-05-06T15:10:00.000+0000,OMDW,EGLL,B772,,0,0,0
SWR354,,2020-05-06T10:55:00.000+0000,2020-05-06T12:40:00.000+0000,LSGG,EGLL,,Business: Meal / Economy: Food for sale,0,1,144
UAL9740,SWR354,2020-05-06T10:55:00.000+0000,2020-05-06T12:40:00.000+0000,LSGG,EGLL,,Business: Meal / Economy: Food for sale,0,1,144
BAW2128,EIN932,2020-05-06T12:15:00.000+0000,2020-05-06T13:35:00.000+0000,EGAC,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
REU8780,AFR1780,2020-05-06T11:20:00.000+0000,2020-05-06T12:45:00.000+0000,LFPG,EGLL,A320,Business: No meal / Economy: No meal,0,108,66
KAL907,,2020-05-06T04:20:00.000+0000,2020-05-06T16:25:00.000+0000,RKSI,EGLL,B77W,"First: No meal / Business: Dinner, Lunch / Economy: Dinner, Lunch",8,42,227
ISS9577,BAW577,2020-05-06T11:20:00.000+0000,2020-05-06T13:20:00.000+0000,LIML,EGLL,,Business: Meal / Economy: Meal,0,1,179
ACA6896,EIN166,2020-05-06T12:35:00.000+0000,2020-05-06T14:05:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
BAW5966,EIN166,2020-05-06T12:35:00.000+0000,2020-05-06T14:05:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
