admission_date|company_name|icb_industry|icb_supersector|country_of_incorp|world_region|market|international_issuer|market_cap
1985-04-24|ANGLO-EASTERN PLANTATIONS PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|185.50
2016-11-14|ANGUS ENERGY PLC|Energy|Energy|United Kingdom|Europe|AIM|No|2.72
2008-01-15|ANIMALCARE GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|91.59
2006-11-28|ANPARIO PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|74.94
1982-07-05|ANTOFAGASTA PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|7620.67
2014-03-03|AO WORLD PLC|Consumer Discretionary|Retail|United Kingdom|Europe|MAIN MARKET|No|322.61
2002-12-18|AORTECH INTERNATIONAL PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|10.13
2015-06-15|APAX GLOBAL ALPHA LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|559.85
2017-10-04|API GROUP CORPORATION|Financials|Financial Services|British Virgin Islands|North America|MAIN MARKET|Yes|1288.02
2015-06-19|APPLEGREEN PLC|Consumer Discretionary|Retail|Ireland|Europe|AIM|Yes|229.28
2013-11-20|APPLIED GRAPHENE MATERIALS PLC|Basic Materials|Chemicals|United Kingdom|Europe|AIM|No|4.70
2007-10-26|APPRECIATE GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|61.49
2016-08-26|APQ GLOBAL LIMITED|Financials|Financial Services|Guernsey|Europe|AIM|No|53.22
1984-05-02|APTITUDE SOFTWARE GROUP PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|197.33
2019-06-05|AQUILA EUROPEAN RENEWABLES INCOME FUND PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|319.17
2014-08-28|AQUILA SERVICES GROUP PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|10.82
2018-06-14|AQUIS EXCHANGE PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|86.88
2016-09-21|ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.|Consumer Staples|Food, Beverage and Tobacco|Egypt|Middle East|ADMISSION TO TRADING ONLY|Yes|0.00
2005-06-27|ARBUTHNOT BANKING GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|112.78
2010-09-15|ARC MINERALS LIMITED|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|11.44
2000-12-04|ARCONTECH GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|19.16
2006-07-19|ARDEN PARTNERS PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|1.16
2017-07-25|ARENA EVENTS GROUP PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|14.51
2019-06-25|ARGENTEX GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|113.21
2018-08-03|ARGO BLOCKCHAIN PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|9.69
2008-11-18|ARGO GROUP LIMITED|Financials|Financial Services|Isle of Man|Europe|AIM|No|6.04
2010-07-29|ARGOS RESOURCES LIMITED|Energy|Energy|Falkland Islands|Latin America|AIM|Yes|4.08
2005-07-28|ARIANA RESOURCES PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|29.67
2017-02-17|ARIX BIOSCIENCE PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|79.30
2007-07-31|ARKLE RESOURCES PLC|Basic Materials|Basic Resources|Ireland|Europe|AIM|Yes|0.73
2006-02-13|ARMADALE CAPITAL PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|9.95
2013-09-12|ARRICANO REAL ESTATE PLC|Real Estate|Real Estate|Cyprus|Europe|AIM|Yes|24.99
2013-10-11|ARROW GLOBAL GROUP PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|189.69
1998-10-16|ARTEMIS ALPHA TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|97.76
2004-12-14|ARTEMIS VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|10.50
2018-07-13|ASA INTERNATIONAL GROUP PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|95.00
2004-11-10|ASCENT RESOURCES PLC|Energy|Energy|United Kingdom|Europe|AIM|No|0.86
2016-02-09|ASCENTIAL PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|993.73
2007-04-05|ASEANA PROPERTIES LIMITED|Real Estate|Real Estate|Jersey|Europe|MAIN MARKET|No|53.68
2007-01-15|ASHLEY HOUSE PLC|Industrials|Construction and Materials|United Kingdom|Europe|AIM|No|0.74
2007-12-12|ASHMORE GLOBAL OPPORTUNITIES LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|7.92
2006-10-17|ASHMORE GROUP PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|2543.06
2018-07-06|ASHOKA INDIA EQUITY INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|55.47
1985-12-06|ASHPOL PLC|||United Kingdom|Europe|MAIN MARKET|No|0.00
1990-10-08|ASHTEAD GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|7932.57
1996-09-16|ASIA CEMENT CORPORATION|Industrials|Construction and Materials|Taiwan|Asia|PROFESSIONAL SECURITIES MARKET|Yes|0.00
1987-09-07|ASIA DRAGON TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|441.90
2006-12-13|ASIAMET RESOURCES LIMITED|Basic Materials|Basic Resources|Bermuda|North America|AIM|Yes|11.83
2003-04-02|ASIMILAR GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|53.13
2001-10-03|ASOS PLC|Consumer Discretionary|Retail|United Kingdom|Europe|AIM|No|1003.31
2007-03-30|ASSETCO PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|38.47
1937-11-05|ASSOCIATED BRITISH ENGINEERING PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|0.31
1994-08-01|ASSOCIATED BRITISH FOODS PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|14360.97
2015-01-28|ASSURA PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|2015.06
2018-10-03|ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC|Consumer Discretionary|Automobiles and Parts|United Kingdom|Europe|MAIN MARKET|No|452.13
1993-06-01|ASTRAZENECA PLC|Health Care|Health Care|United Kingdom|Europe|MAIN MARKET|No|94688.81
2005-05-09|ATALAYA MINING PLC|Basic Materials|Basic Resources|Cyprus|Europe|AIM|Yes|116.74
2008-09-24|ATHELNEY TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|3.88
1996-05-10|ATLANTIS JAPAN GROWTH FUND LD|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|73.35
2013-12-20|ATLAS MARA LIMITED|Financials|Financial Services|British Virgin Islands|North America|MAIN MARKET|Yes|80.08
2013-01-14|ATTIS OIL AND GAS LTD|Energy|Energy|British Virgin Islands|North America|AIM|Yes|2.71
2014-08-19|ATTRAQT GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|50.41
2014-08-22|AUCTUS GROWTH PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|0.71
2005-12-12|AUDIOBOOM GROUP PLC|Consumer Discretionary|Consumer Products and Services|Jersey|Europe|AIM|No|21.03
2004-12-15|AUGEAN PLC|Utilities|Utilities|United Kingdom|Europe|AIM|No|148.84
2018-03-13|AUGMENTUM FINTECH PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|74.25
2006-04-25|AUKETT SWANKE GROUP PLC|Industrials|Construction and Materials|United Kingdom|Europe|AIM|No|2.77
2016-09-12|AURA ENERGY LIMITED|Basic Materials|Basic Resources|Australia|Pacific|AIM|Yes|3.05
1997-03-14|AURORA INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|101.76
2016-08-22|AUTINS GROUP PLC|Consumer Discretionary|Automobiles and Parts|United Kingdom|Europe|AIM|No|3.37
2015-03-24|AUTO TRADER GROUP PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|4032.91
2006-08-08|AVACTA GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|38.29
2010-05-06|AVANGARDCO INVESTMENTS PUBLIC LIMITED|Consumer Staples|Food, Beverage and Tobacco|Cyprus|Europe|MAIN MARKET|Yes|0.00
2018-05-10|AVAST PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|3966.79
2010-10-06|AVATION PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|76.77
1996-12-05|AVEVA GROUP PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|5643.15
1943-06-17|AVI GLOBAL TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|602.62
2018-10-23|AVI JAPAN OPPORTUNITY TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|106.85
2004-10-14|AVINGTRANS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|68.27
1990-06-04|AVIVA PLC|Financials|Insurance|United Kingdom|Europe|MAIN MARKET|No|10767.92
2002-07-26|AVOCET MINING PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|2.74
1949-07-12|AVON RUBBER PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|715.09
2015-11-05|AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|68.89
2005-03-22|AXIS BANK LIMITED|Financials|Banks|India|Asia|PROFESSIONAL SECURITIES MARKET|Yes|0.00
2014-06-17|B&M EUROPEAN VALUE RETAIL S.A.|Consumer Discretionary|Retail|Luxembourg|Europe|MAIN MARKET|Yes|2759.61
2006-02-02|B.P. MARSH & PARTNERS PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|62.61
1998-06-08|B.S.D CROWN LTD|Technology|Technology|Israel|Middle East|MAIN MARKET|Yes|28.45
2016-06-30|B90 HOLDINGS PLC|Consumer Discretionary|Travel and Leisure|Isle of Man|Europe|AIM|No|4.55
1989-08-14|BABCOCK INTERNATIONAL GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|1937.45
2018-03-26|BACANORA LITHIUM PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|48.16
1981-02-11|BAE SYSTEMS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|16731.14
2014-04-15|BAGIR GROUP LTD.|Consumer Discretionary|Consumer Products and Services|Israel|Middle East|AIM|Yes|1.40
2010-06-16|BAHAMAS PETROLEUM COMPANY PLC|Energy|Energy|Isle of Man|Europe|AIM|No|31.10
1972-06-28|BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|283.96
1981-12-14|BAILLIE GIFFORD JAPAN TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|575.95
1985-07-01|BAILLIE GIFFORD SHIN NIPPON PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|394.20
1994-03-10|BAILLIE GIFFORD UK GROWTH FUND PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|225.78
2018-03-23|BAILLIE GIFFORD US GROWTH TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|355.07
2010-04-28|BAKER STEEL RESOURCES TRUST LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|48.97
2017-11-03|BAKKAVOR GROUP PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|608.40
1945-06-28|BALFOUR BEATTY PLC|Industrials|Construction and Materials|United Kingdom|Europe|MAIN MARKET|No|1605.82
1988-10-03|BANCO BILBAO VIZCAYA ARGENTARIA S.A.|Financials|Banks|Spain|Europe|MAIN MARKET|Yes|17164.59
2005-07-01|BANCO SANTANDER S.A.|Financials|Banks|Spain|Europe|MAIN MARKET|Yes|32639.64
2005-06-30|BANGO PLC|Technology|Technology|United Kingdom|Europe|AIM|No|82.00
1996-11-06|BANK AUDI S.A.L.|Financials|Banks|Lebanon|Middle East|MAIN MARKET|Yes|0.00
2017-01-19|BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY|Financials|Banks|Ireland|Europe|MAIN MARKET|Yes|264.94
2012-02-28|BANK OF GEORGIA GROUP PLC|Financials|Banks|United Kingdom|Europe|MAIN MARKET|No|431.98
1959-01-14|BANK OF IRELAND (GOVERNOR & COMPANY OF THE)|Financials|Banks|Ireland|Europe|MAIN MARKET|Yes|34.24
2017-07-10|BANK OF IRELAND GROUP PLC|Financials|Banks|Ireland|Europe|MAIN MARKET|Yes|1645.84
2000-11-03|BANK PEKAO SA|Financials|Banks|Poland|Europe|MAIN MARKET|Yes|0.00
1957-01-12|BANKERS INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|1083.38
2005-10-05|BANKMUSCAT (S.A.O.G.)|Financials|Banks|Oman|Middle East|MAIN MARKET|Yes|0.00
1953-11-01|BARCLAYS PLC|Financials|Banks|United Kingdom|Europe|MAIN MARKET|No|16308.45
2002-12-18|BARING EMERGING EUROPE PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|63.35
